16666us
9881000ns,6785000ns,16666us
11143200ns,5522800ns,16666us
9858400ns,6807600ns,16666us
8846300ns,7819700ns,16666us
9854300ns,6811700ns,16666us
9013100ns,7652900ns,16666us
8790300ns,7875700ns,16666us
10565100ns,6100900ns,16666us
10558300ns,6107700ns,16666us
9486600ns,7179400ns,16666us
13164100ns,3501900ns,16666us
10717000ns,5949000ns,16666us
9484600ns,7181400ns,16666us
8750000ns,7916000ns,16666us
9667500ns,6998500ns,16666us
9242100ns,7423900ns,16666us
9751900ns,6914100ns,16666us
8677200ns,7988800ns,16666us
9169000ns,7497000ns,16666us
9333400ns,7332600ns,16666us
8946700ns,7719300ns,16666us
11053300ns,5612700ns,16666us
10261100ns,6404900ns,16666us
9363300ns,7302700ns,16666us
9520000ns,7146000ns,16666us
8020400ns,8645600ns,16666us
9896400ns,6769600ns,16666us
9346200ns,7319800ns,16666us
10012800ns,6653200ns,16666us
9850800ns,6815200ns,16666us
9434600ns,7231400ns,16666us
9816900ns,6849100ns,16666us
9107900ns,7558100ns,16666us
9109000ns,7557000ns,16666us
9722400ns,6943600ns,16666us
9010300ns,7655700ns,16666us
11528700ns,5137300ns,16666us
8539400ns,8126600ns,16666us
9847300ns,6818700ns,16666us
8442000ns,8224000ns,16666us
11086400ns,5579600ns,16666us
8438100ns,8227900ns,16666us
10163700ns,6502300ns,16666us
9120600ns,7545400ns,16666us
16634100ns,31900ns,16666us
9850100ns,6815900ns,16666us
9044100ns,7621900ns,16666us
8675300ns,7990700ns,16666us
8702700ns,7963300ns,16666us
8131100ns,8534900ns,16666us
9876900ns,6789100ns,16666us
9360400ns,7305600ns,16666us
9667400ns,6998600ns,16666us
9711300ns,6954700ns,16666us
10271600ns,6394400ns,16666us
10560800ns,6105200ns,16666us
9552400ns,7113600ns,16666us
10404400ns,6261600ns,16666us
10254400ns,6411600ns,16666us
10317700ns,6348300ns,16666us
10753500ns,5912500ns,16666us
8569800ns,8096200ns,16666us
9446600ns,7219400ns,16666us
8139200ns,8526800ns,16666us
9829000ns,6837000ns,16666us
8424000ns,8242000ns,16666us
9945300ns,6720700ns,16666us
8932600ns,7733400ns,16666us
9644500ns,7021500ns,16666us
9089300ns,7576700ns,16666us
10267900ns,6398100ns,16666us
8669900ns,7996100ns,16666us
9820900ns,6845100ns,16666us
8894300ns,7771700ns,16666us
10024500ns,6641500ns,16666us
9759000ns,6907000ns,16666us
10365800ns,6300200ns,16666us
8758500ns,7907500ns,16666us
10049800ns,6616200ns,16666us
8276700ns,8389300ns,16666us
10503500ns,6162500ns,16666us
9621300ns,7044700ns,16666us
9725400ns,6940600ns,16666us
9875900ns,6790100ns,16666us
9807600ns,6858400ns,16666us
9494800ns,7171200ns,16666us
14469400ns,2196600ns,16666us
9217000ns,7449000ns,16666us
9632100ns,7033900ns,16666us
9455000ns,7211000ns,16666us
9388500ns,7277500ns,16666us
9572400ns,7093600ns,16666us
9394900ns,7271100ns,16666us
8678100ns,7987900ns,16666us
12510000ns,4156000ns,16666us
8946900ns,7719100ns,16666us
9931400ns,6734600ns,16666us
8829700ns,7836300ns,16666us
16666300ns,-300ns,16666us
9570200ns,7095800ns,16666us
9731600ns,6934400ns,16666us
10560100ns,6105900ns,16666us
10146500ns,6519500ns,16666us
9174400ns,7491600ns,16666us
9107600ns,7558400ns,16666us
8640100ns,8025900ns,16666us
9417600ns,7248400ns,16666us
8897700ns,7768300ns,16666us
9649700ns,7016300ns,16666us
8462200ns,8203800ns,16666us
10319300ns,6346700ns,16666us
9711500ns,6954500ns,16666us
8485600ns,8180400ns,16666us
8513000ns,8153000ns,16666us
12641900ns,4024100ns,16666us
11295200ns,5370800ns,16666us
10759700ns,5906300ns,16666us
8902000ns,7764000ns,16666us
10056700ns,6609300ns,16666us
8858100ns,7807900ns,16666us
9210600ns,7455400ns,16666us
17992500ns,-1326500ns,16666us
9186400ns,7479600ns,16666us
9285000ns,7381000ns,16666us
9120800ns,7545200ns,16666us
9230400ns,7435600ns,16666us
9517500ns,7148500ns,16666us
9266800ns,7399200ns,16666us
8458000ns,8208000ns,16666us
9847800ns,6818200ns,16666us
8901000ns,7765000ns,16666us
10081700ns,6584300ns,16666us
12263800ns,4402200ns,16666us
9022500ns,7643500ns,16666us
7803100ns,8862900ns,16666us
11317200ns,5348800ns,16666us
